id,x,y
E07000194,-1.8050,52.6882
E07000195,-2.3187,52.9932
E07000196,-2.1767,52.6255
E07000197,-2.1765,52.8482
E07000198,-1.9813,53.0794
E07000199,-1.6779,52.6264
E07000200,0.9079,52.0529
E07000201,0.5315,52.3548
E07000202,1.1598,52.0564
E07000203,1.0926,52.2469
E07000204,0.6744,52.2335
E07000205,1.4105,52.1645
E07000206,1.5653,52.4051
E07000207,-0.3922,51.3572
E07000208,-0.2615,51.3391
E07000209,-0.5617,51.2478
E07000210,-0.3251,51.2123
E07000211,-0.1919,51.2533
E07000212,-0.5413,51.3938
E07000213,-0.4680,51.4248
E07000214,-0.6705,51.3430
E07000215,-0.0434,51.2270
E07000216,-0.6328,51.1498
E07000217,-0.5607,51.3138
E07000218,-1.6280,52.5475
E07000219,-1.4759,52.5011
E07000220,-1.3283,52.3844
E07000221,-1.6229,52.1788
E07000222,-1.5847,52.3100
E07000223,-0.3254,50.8438
E07000224,-0.6335,50.8357
E07000225,-0.7362,50.9428
E07000226,-0.1820,51.1255
E07000227,-0.3630,50.9949
E07000228,-0.1270,51.0209
E07000229,-0.3964,50.8300
E07000234,-2.0160,52.3618
E07000235,-2.3450,52.1830
E07000236,-1.9518,52.2823
E07000237,-2.2113,52.1968
E07000238,-2.0511,52.1643
E07000239,-2.2747,52.3796
E07000240,-0.3425,51.7721
E07000241,-0.1941,51.7669
E07000242,-0.0082,51.8651
E07000243,-0.1893,51.9043
E08000001,-2.4669,53.5786
E08000002,-2.3125,53.5879
E08000003,-2.2325,53.4516
E08000004,-2.0506,53.5519
E08000005,-2.1578,53.6166
E08000006,-2.3701,53.4895
E08000007,-2.1282,53.3940
E08000008,-2.0628,53.4775
E08000009,-2.3553,53.4190
E08000010,-2.5895,53.5241
E08000011,-2.8341,53.4251
E08000012,-2.9168,53.4039
E08000013,-2.7236,53.4595
E08000014,-3.0042,53.5493
E08000015,-3.0691,53.3640
E08000016,-1.5326,53.5358
E08000017,-1.0958,53.5443
E08000018,-1.2862,53.4086
E08000019,-1.5505,53.4045
E08000021,-1.6583,55.0083
E08000022,-1.5193,55.0283
E08000023,-1.4445,54.9627
E08000024,-1.4366,54.8626
E08000025,-1.8747,52.4886
E08000026,-1.5197,52.4169
E08000027,-2.1087,52.4829
E08000028,-2.0090,52.5154
E08000029,-1.7270,52.4131
E08000030,-1.9664,52.5993
E08000031,-2.1210,52.5892
E08000032,-1.8547,53.8447
E08000033,-1.9735,53.7212
E08000034,-1.7632,53.6274
E08000035,-1.5060,53.8258
E08000036,-1.4118,53.6606
E08000037,-1.6834,54.9350
E09000001,-0.0922,51.5149
E09000002,0.1340,51.5453
E09000003,-0.2099,51.6161
E09000004,0.1403,51.4588
E09000005,-0.2678,51.5586
E09000006,0.0515,51.3720
E09000007,-0.1573,51.5464
E09000008,-0.0872,51.3553
E09000009,-0.3309,51.5225
E09000010,-0.0872,51.6510
E09000011,0.0567,51.4728
E09000012,-0.0633,51.5523
E09000013,-0.2213,51.4960
E09000014,-0.1075,51.5904
E09000015,-0.3412,51.5977
E09000016,0.2211,51.5644
E09000017,-0.4456,51.5415
E09000018,-0.3672,51.4683
E09000019,-0.1102,51.5485
E09000020,-0.1926,51.5015
E09000021,-0.2870,51.3878
E09000022,-0.1183,51.4530
E09000023,-0.0203,51.4481
E09000024,-0.1973,51.4099
E09000025,0.0364,51.5284
E09000026,0.0759,51.5856
E09000027,-0.3130,51.4422
E09000028,-0.0746,51.4731
E09000029,-0.1777,51.3621
E09000030,-0.0356,51.5172
E09000031,-0.0126,51.5941
E09000032,-0.1864,51.4513
E09000033,-0.1613,51.5140
